original,saga
ぬるい,ふるぬっか
熱くない,ふるぬっか
手塩皿,テショ
古い,おろよか
つまらない,おろよか
こわい,えすか
ずるい,こすか
おそい,おすか
周り,じゅうぐらり
鯛,ちゃー
かぼちゃ,ぼうぶら
あらあらしい,はばしか
一緒,ぎゃー
ものすごく,いさぎ
たくさん,いさぎなしこ
むてっぽう,うーばんぎゃなかね
おおざっぱでまかせられない,うーばんぎゃなかね
だして,じゃあち
出して,じゃあち
むだ口,へっぱく
むだ話,へっぱく
へらず口,へっぱく
ぬれていやだ,いーか
気持ち悪い,いーか
あぁもう,あーもねーま
さびしい,とぜんなか
かなしい,とぜんなか
田植え後の休み,さなぼり
田植えじまいのお祝い,さなぼり
みっともない,みたんなか
見た目が悪い,みたんなか
大きな声で叫ぶ,おらぶ
刺さる,ぬかる
むすぶ,きびる
うそのこと,すらごつ
本当のこと,ほんなごつ
おんぶ,なんなん
もたれかかる,よっかかる
置いて,えーち
筋肉痛になる,こわる
違う,いんにゃ
ちがう,うんにゃ
すいか,しーか
スカスカになってる,うげる
かみついている,きーちーちょる
じっとして,よーら
これ,こり
それ,そり
あれ,あり
どれ,どり
投げる,ほたる
穴があく,ほげる
こわれる,ひっこげる
黄ばんでいる,にしまっちょる
かいでみて,かずじろ
すっぱい,しーか
くさる,ねまる
赤ちゃんをおんぶする,ややばからう
若い人,わっかつ
おれ,おり
古くなって、劣化している。,そでる
弱める,とろめる
おかず,しゃー
怖い,おとろしか
まむし,ひらくち
立派だ,いさぎなもん
たくさん,いっぴゃ
来いよ,けーま
何で私のだけ,なし、おりがつだけ
帰る,きゃーる
これはすごい,こりゃま～どうして
行っておく,いたちょこ
壊れている,ひっこげちょる
咲いている,しゃ～ちょる
相手にしてくれない,うてあってくれん
つまづく,てっころぶ
転ぶ,てっころぶ
くさる,ねまる
下がっている,ずんだれちょる
ずれる,ずんだれちょる
くも,こぶ
のようだ,ごたる
潰れる,びっしゃげる
むすぶ,くびる
へ,さん
驚く,つったまがる
激しい,はばしか
だけど,ばってん
大変,おおごつ
一大事,おおごつ
食べあきた,きーやーた
水溜まり,びちゃ
ぬれて気持ち悪い,いーかー
たくさんある,あばかん
みんなで,ごろっと
一緒に行こう,つんのうじいこじゃま
片付ける,なおす
しまう,なおす
打ち上げ,しまいや
髪をとく,さばく
冗談,ぞーたん
手伝い,かせ
おこる,はらかく
怒る,はらかく
かわいい,やーらしか
午前中,あさんま
夜,よさり
好き,しーちょる
かえるが鳴いている,びっきんたけりょる
ほっぺた,ふーたんべら
かまれた,きーつかれた
耐えられない,のさん
氷菓子,キャンデ
可愛がる,むぞがる
お腹が痛くなる,はらそこのうた
散らかす,あどかす
つまづく,けまつれて
ころぶ,てっころぶ
ビリ,どっぽす
よくできている,ええとこでけちょる
良くできている,ええとこでけちょる
たくさん買って,たいそこーて
目がしみる,目のしむか
煙くさい,すぼりくさか
豪華な食事,ごっつ
置き場所,おきざき
ひっくりかえる,むっくんがえる
方言大募集,方言大募集
お腹がすいた,ひだるか
おかず,しゃーん
真正面に,まっぽし
いっしょに,つんのうじ
飽きた,しりんやけた
くすぐったい,こそばいか！
よく、ちゃんと,よーっと
どのあたり,どこんにき
このあたり,ここんにき
何だって,なんて
もらってきた,もろてきた
いい香りがする,よかにおいんすっ
放り投げて,ほんなげて
声をかけない,声ばかけん
びっくりするでしょ,びっくいすった
しょうがない,しょんなか
入らない,ひゃーらん
たやすくない,やおいかん
だけど,ばってん
帰って,きゃーって
からみつく,しーばりつく
何で？,なし？
なんで？,なし？
こんなに,こがん
いい,よか
みっともない,みたんなか
何を言っているの,なんばいいよっと
そうだね,そやんね
大変,やおいかん
なくなった,のうなった
全くはかどらない,いっちょんはかんいかん
もう少し後ろへさがって,まちっとひざって
大変だね,やおいかんね
風邪ひかないように,風邪ひかんごつ
たくさん着ていかないといけない,たいそ着ていかなばい
仕舞い祝い,しまいや
しまった,しもた
甘くて,あもーして
あの人たちは,あいどま
どこに行ったの,どけ行たつね？
だめだ,でけん
全く何もうかばない,いっちょん何もうかばん
急いで,いせじ
あまり,えぞ
本当に,ほんなごて
どれどれ,どらどら
帰って,きゃぁって
暗がり,暗すみ
常夜灯,にしょっこ
意識せずにしてしまう手遊び,てまぜ
どしゃぶり,どーどーぶり
そんなに,そがん
たたく,うったたく
全く,いっちょん
蛙,びっきん
カエル,びっきん
鳴いている,たけりょる
蜘蛛,こぶ
クモ,こぶ
怖い,えすか
置いておく,うったてる
大雑把,うーばんぎゃなか
ぬけている,うーばんぎゃなか
びっくりした,つったまがった
おでこ,むこづら
お腹すいた,ひだるか
簡単ではない,ざっとなか
大変だ,ざっとなか
やっと,よーよし
やっと、ようやく,よーよし
あらあらしい,はばしか
若い人,わっかつ
とても暑い,がばぬっか
直接,いけと
そのまま,いけと
酸っぱい,し～いか
そんなに,そやん
大きな声で叫ばなくても,おらばんでも
暑い,ぬっか
おばけ,あもよ
ゆがんでいる,よがんじょる
とても疲れた,きゃーなえた
うるさい,せからしか
騒々しい,せからしか
煩わしい,せからしか
面倒な,せからしか
聞こえてない,聞こえとらん
寝る,ぬる
寝られない,ねーきらん
その辺,そこんにき
どれだけ,どぎゃしこ
歩く,さるく
歩き回る,さるく
ひっくり返す,ひっくんがえす
捨てる,うしてる
うるさい,しゃーしか
やかましい,しゃーしか
掃く,はわく
怒られる,がられる
ゴキブリ,ごっかぶろ
叫ぶ,おらぶ
できない,しきらん
どうしようか,どがんしゅうか
おなかいっぱい,どっぺーする
好き,すきっちゃん
かわいい,やーらしか
かわいらしい,やーらしか
少しも,いっちょん
全然好きじゃない,いっちょんすかん
いいえ,いんにゃ
ものもらい,いんのくそ
周囲,うーいってんぎゃー
おおかまだ,うーばんぎゃーか
嘘つき,うっさごといー
わたしたち,うったち
うるさい,うらめしか
わずらわしい,うらめしか
おれ,おい
おれたち,おいどん
叫ぶ,おらぶ
妻,かか
母,かか
たいへん,がばい
とても,がばい
髪の毛,かんげ
かまわないよ,かんまん
疲れた,きつか
しんどい,きつか
苦しい,きつか
黄色,きなか
がんばる,きばっ
風邪,ぎゃーけ
疲れた,きゃーなゅつ
行く,くる
これ,こがん
ずるい,こすか
背中,ごちゃー
くすぐる,こちょくる
ずっと,ごっとい
こども,こどん
来ない？,こんね？
せんせい,しぇんしぇー
じんましん,じかまけ
全部,しっきゃー
おしゃれな人,しゃれぼー
しゅうとめ,しゅーとがが
にっこりと,しれーっと
肌寒い,すーすーすー
さびしい,すげんない
末っ子,すそご
嘘,すらごと
やかましい,せからしか
それじゃあ,そいぎ
それじゃ,そいぎんた
さようなら,そいぎんた
冗談,ぞーたん
腹が立つ,ぞーんわく
みんな,だいでん
驚く,たまがる
少し,ちかっと
逃げられる,ちんにげる
ふくらはぎ,つとこぶら
どれ,どがん
どうしようもない,どがんしゅーでんなか
さびしい,とぜんなか
取っている,とっとっと
バカ,にとはっじゅ
暖かい,ぬっか
暑い,ぬっか
温める,ぬくめる
ゆっくり,ぬらーぬら
つねる,ねずむ
つまむ,ねずむ
気が重い,のさん
だけど,ばってん
怒った,はらかいた
臆病,ひけしか
臆病者、小心者,ひけしぼー
冷たい,ひやか
アホ,ふーけ
アホな人,ふーけもん
おたふく風邪,ふーとばれ
ふざける,ふうける
大きい,ふとか
ぬるい,ふるぬっか
生温かい,ふるぬっか
ほっぺた,べんぶー
みっともない,みたんなか
耳垢,みみご
耳の穴,みんのす
耳たぶ,みんのは
